entidad,nacional,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5,oemsex6
"13",17,"0","0","0","0","0",""
"13",18,"0","0","0","0","0",""
"13",19,"0","0","0","0","0",""
"13",20,"0","0","0","0","0",""
"14",1,"182","168","14","0","0",""
"14",2,"0","0","0","0","0",""
"14",3,"0","0","0","0","0",""
"14",4,"0","0","0","0","0",""
"14",5,"0","0","0","0","0",""
"14",6,"0","0","0","0","0",""
"14",7,"0","0","0","0","0",""
"14",8,"0","0","0","0","0",""
"14",9,"0","0","0","0","0",""
"14",10,"0","0","0","0","0",""
"14",11,"0","0","0","0","0",""
"14",12,"0","0","0","0","0",""
"14",13,"0","0","0","0","0",""
"14",14,"0","0","0","0","0",""
"14",15,"0","0","0","0","0",""
"14",16,"0","0","0","0","0",""
"14",17,"0","0","0","0","0",""
"14",18,"0","0","0","0","0",""
"14",19,"0","0","0","0","0",""
"14",20,"0","0","0","0","0",""
"15",1,"NSS","NSS","NSS","0","0",""
"15",2,"NSS","NSS","NSS","0","0",""
"15",3,"NSS","NSS","NSS","0","0",""
"15",4,"NSS","NSS","NSS","0","0",""
"15",5,"NSS","NSS","NSS","0","0",""
"15",6,"NSS","NSS","NSS","0","0",""
"15",7,"NSS","NSS","NSS","0","0",""
"15",8,"NSS","NSS","NSS","0","0",""
"15",9,"NSS","NSS","NSS","0","0",""
"15",10,"NSS","NSS","NSS","0","0",""
"15",11,"NSS","NSS","NSS","0","0",""
"15",12,"NSS","NSS","NSS","0","0",""
"15",13,"NSS","NSS","NSS","0","0",""
"15",14,"NSS","NSS","NSS","0","0",""
"15",15,"NSS","NSS","NSS","0","0",""
"15",16,"NSS","NSS","NSS","0","0",""
"15",17,"NSS","NSS","NSS","0","0",""
"15",18,"NSS","NSS","NSS","0","0",""
"15",19,"NSS","NSS","NSS","0","0",""
"15",20,"17","16","1","0","0",""
"16",1,"2","2","0","0","0",""
"16",2,"0","0","0","0","0",""
"16",3,"0","0","0","0","0",""
"16",4,"0","0","0","0","0",""
"16",5,"0","0","0","0","0",""
"16",6,"0","0","0","0","0",""
"16",7,"0","0","0","0","0",""
"16",8,"0","0","0","0","0",""
"16",9,"0","0","0","0","0",""
"16",10,"0","0","0","0","0",""
"16",11,"0","0","0","0","0",""
"16",12,"0","0","0","0","0",""
"16",13,"0","0","0","0","0",""
"16",14,"0","0","0","0","0",""
"16",15,"0","0","0","0","0",""
"16",16,"0","0","0","0","0",""
"16",17,"0","0","0","0","0",""
"16",18,"0","0","0","0","0",""
"16",19,"0","0","0","0","0",""
"16",20,"0","0","0","0","0",""
"17",1,"12","0","0","10","2",""
"17",2,"0","0","0","0","0",""
"17",3,"0","0","0","0","0",""
"17",4,"0","0","0","0","0",""
"17",5,"0","0","0","0","0",""
"17",6,"0","0","0","0","0",""
"17",7,"0","0","0","0","0",""
"17",8,"0","0","0","0","0",""
"17",9,"0","0","0","0","0",""
"17",10,"0","0","0","0","0",""
"17",11,"0","0","0","0","0",""
"17",12,"0","0","0","0","0",""
"17",13,"0","0","0","0","0",""
"17",14,"0","0","0","0","0",""
"17",15,"0","0","0","0","0",""
"17",16,"0","0","0","0","0",""
"17",17,"0","0","0","0","0",""
"17",18,"0","0","0","0","0",""
"17",19,"0","0","0","0","0",""
"17",20,"0","0","0","0","0",""
"18",1,"28","27","1","0","0",""
"18",2,"2","2","0","0","0",""
"18",3,"0","0","0","0","0",""
"18",4,"0","0","0","0","0",""
"18",5,"0","0","0","0","0",""
"18",6,"0","0","0","0","0",""
"18",7,"0","0","0","0","0",""
"18",8,"0","0","0","0","0",""
"18",9,"0","0","0","0","0",""
"18",10,"0","0","0","0","0",""
"18",11,"0","0","0","0","0",""
"18",12,"0","0","0","0","0",""
"18",13,"0","0","0","0","0",""
"18",14,"0","0","0","0","0",""
"18",15,"0","0","0","0","0",""
"18",16,"0","0","0","0","0",""
"18",17,"0","0","0","0","0",""
"18",18,"0","0","0","0","0",""
"18",19,"0","0","0","0","0",""
"18",20,"2","2","0","0","0",""
"19",1,"31","0","0","30","1",""
"19",2,"NSS","0","0","NSS","NSS",""
"19",3,"NSS","0","0","NSS","NSS",""
"19",4,"NSS","0","0","NSS","NSS",""
"19",5,"NSS","0","0","NSS","NSS",""
"19",6,"NSS","0","0","NSS","NSS",""
"19",7,"NSS","0","0","NSS","NSS",""
"19",8,"NSS","0","0","NSS","NSS",""
"19",9,"NSS","0","0","NSS","NSS",""
"19",10,"NSS","0","0","NSS","NSS",""
"19",11,"NSS","0","0","NSS","NSS",""
"19",12,"NSS","0","0","NSS","NSS",""
"19",13,"NSS","0","0","NSS","NSS",""
"19",14,"NSS","0","0","NSS","NSS",""
"19",15,"NSS","0","0","NSS","NSS",""
"19",16,"NSS","0","0","NSS","NSS",""
"19",17,"NSS","0","0","NSS","NSS",""
"19",18,"NSS","0","0","NSS","NSS",""
"19",19,"NSS","0","0","NSS","NSS",""
"19",20,"11","0","0","NSS","NSS","11"
"20",1,"12","0","0","12","0",""
"20",2,"NSS","0","0","NSS","0",""
"20",3,"NSS","0","0","NSS","0",""
"20",4,"NSS","0","0","NSS","0",""
"20",5,"NSS","0","0","NSS","0",""
"20",6,"NSS","0","0","NSS","0",""
"20",7,"NSS","0","0","NSS","0",""
"20",8,"NSS","0","0","NSS","0",""
"20",9,"NSS","0","0","NSS","0",""
"20",10,"NSS","0","0","NSS","0",""
"20",11,"NSS","0","0","NSS","0",""
"20",12,"NSS","0","0","NSS","0",""
"20",13,"NSS","0","0","NSS","0",""
"20",14,"NSS","0","0","NSS","0",""
"20",15,"NSS","0","0","NSS","0",""
"20",16,"NSS","0","0","NSS","0",""
"20",17,"NSS","0","0","NSS","0",""
"20",18,"NSS","0","0","NSS","0",""
"20",19,"NSS","0","0","NSS","0",""
"20",20,"1","0","0","1","0",""
"21",1,"41","41","0","0","0",""
"21",2,"NSS","NSS","0","0","0",""
"21",3,"NSS","NSS","0","0","0",""
"21",4,"NSS","NSS","0","0","0",""
"21",5,"NSS","NSS","0","0","0",""
"21",6,"NSS","NSS","0","0","0",""
"21",7,"NSS","NSS","0","0","0",""
"21",8,"NSS","NSS","0","0","0",""
"21",9,"NSS","NSS","0","0","0",""
"21",10,"NSS","NSS","0","0","0",""
"21",11,"NSS","NSS","0","0","0",""
"21",12,"NSS","NSS","0","0","0",""
"21",13,"NSS","NSS","0","0","0",""
"21",14,"NSS","NSS","0","0","0",""
"21",15,"NSS","NSS","0","0","0",""
"21",16,"NSS","NSS","0","0","0",""
"21",17,"NSS","NSS","0","0","0",""
"21",18,"NSS","NSS","0","0","0",""
"21",19,"NSS","NSS","0","0","0",""
"21",20,"1","1","0","0","0",""
"22",1,"8","0","0","8","0",""
"22",2,"0","0","0","0","0",""
"22",3,"0","0","0","0","0",""
"22",4,"0","0","0","0","0",""
"22",5,"0","0","0","0","0",""
"22",6,"0","0","0","0","0",""
"22",7,"0","0","0","0","0",""
"22",8,"0","0","0","0","0",""
"22",9,"0","0","0","0","0",""
"22",10,"0","0","0","0","0",""
"22",11,"0","0","0","0","0",""
"22",12,"0","0","0","0","0",""
"22",13,"0","0","0","0","0",""
"22",14,"0","0","0","0","0",""
"22",15,"0","0","0","0","0",""
"22",16,"0","0","0","0","0",""
"22",17,"0","0","0","0","0",""
"22",18,"0","0","0","0","0",""
"22",19,"0","0","0","0","0",""
"22",20,"0","0","0","0","0",""
"23",1,"8","0","0","6","2",""
"23",2,"0","0","0","0","0",""
"23",3,"0","0","0","0","0",""
"23",4,"0","0","0","0","0",""
"23",5,"0","0","0","0","0",""
"23",6,"0","0","0","0","0",""
"23",7,"0","0","0","0","0",""
"23",8,"0","0","0","0","0",""
"23",9,"0","0","0","0","0",""
"23",10,"0","0","0","0","0",""
"23",11,"0","0","0","0","0",""
"23",12,"0","0","0","0","0",""
"23",13,"0","0","0","0","0",""
"23",14,"0","0","0","0","0",""
"23",15,"0","0","0","0","0",""
"23",16,"0","0","0","0","0",""
"23",17,"0","0","0","0","0",""
"23",18,"0","0","0","0","0",""
"23",19,"0","0","0","0","0",""
"23",20,"0","0","0","0","0",""
"24",1,"0","0","0","0","0",""
"24",2,"0","0","0","0","0",""
"24",3,"0","0","0","0","0",""
"24",4,"0","0","0","0","0",""
"24",5,"0","0","0","0","0",""
"24",6,"0","0","0","0","0",""
"24",7,"0","0","0","0","0",""
"24",8,"0","0","0","0","0",""
"24",9,"0","0","0","0","0",""
"24",10,"0","0","0","0","0",""
"24",11,"0","0","0","0","0",""
"24",12,"0","0","0","0","0",""
"24",13,"0","0","0","0","0",""
"24",14,"0","0","0","0","0",""
"24",15,"0","0","0","0","0",""
"24",16,"0","0","0","0","0",""
"24",17,"0","0","0","0","0",""
"24",18,"0","0","0","0","0",""
"24",19,"0","0","0","0","0",""
"24",20,"0","0","0","0","0",""
"25",1,"NSS","0","0","NSS","NSS",""
"25",2,"NSS","0","0","NSS","NSS",""
"25",3,"NSS","0","0","NSS","NSS",""
"25",4,"NSS","0","0","NSS","NSS",""
"25",5,"NSS","0","0","NSS","NSS",""
"25",6,"NSS","0","0","NSS","NSS",""
"25",7,"NSS","0","0","NSS","NSS",""
"25",8,"NSS","0","0","NSS","NSS",""
"25",9,"NSS","0","0","NSS","NSS",""
"25",10,"NSS","0","0","NSS","NSS",""
"25",11,"NSS","0","0","NSS","NSS",""
"25",12,"NSS","0","0","NSS","NSS",""
"25",13,"NSS","0","0","NSS","NSS",""
"25",14,"NSS","0","0","NSS","NSS",""
"25",15,"NSS","0","0","NSS","NSS",""
"25",16,"NSS","0","0","NSS","NSS",""
"25",17,"NSS","0","0","NSS","NSS",""
"25",18,"NSS","0","0","NSS","NSS",""
"25",19,"NSS","0","0","NSS","NSS",""
"25",20,"39","0","0","NSS","NSS","39"
"26",1,"240","228","12","0","0",""
"26",2,"2","2","NSS","0","0",""
"26",3,"NSS","0","NSS","0","0",""
"26",4,"NSS","0","NSS","0","0",""
"26",5,"NSS","0","NSS","0","0",""
