entidad,repadano,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"27",3,"8","7","1","","NSS","NSS",""
"27",4,"2","2","0","","NSS","NSS",""
"27",5,"3","3","0","","NSS","NSS",""
"27",6,"1","0","1","","NSS","NSS",""
"27",7,"NSS","0","0","","NSS","NSS",""
"27",8,"1","1","0","","NSS","NSS",""
"27",9,"1","1","0","","NSS","NSS",""
"27",10,"NSS","0","0","","NSS","NSS",""
"27",11,"25","22","3","","NSS","NSS",""
"27",99,"164","137","2","2","15","8",""
"28",1,"3","3","NSS","","0","0",""
"28",2,"NSS","0","NSS","","0","0",""
"28",3,"NSS","0","NSS","","0","0",""
"28",4,"NSS","0","NSS","","0","0",""
"28",5,"NSS","0","NSS","","0","0",""
"28",6,"NSS","0","NSS","","0","0",""
"28",7,"NSS","0","NSS","","0","0",""
"28",8,"NSS","0","NSS","","0","0",""
"28",9,"NSS","0","NSS","","0","0",""
"28",10,"NSS","0","NSS","","0","0",""
"28",11,"1","1","NSS","","0","0",""
"28",99,"1284","151","6","1127","","",""
"29",1,"91","78","13","","0","0",""
"29",2,"20","20","0","","0","0",""
"29",3,"2","2","0","","0","0",""
"29",4,"5","5","0","","0","0",""
"29",5,"1","1","0","","0","0",""
"29",6,"1","1","0","","0","0",""
"29",7,"0","0","0","","0","0",""
"29",8,"0","0","0","","0","0",""
"29",9,"1","1","0","","0","0",""
"29",10,"0","0","0","","0","0",""
"29",11,"2","0","2","","0","0",""
"29",99,"237","191","29","17","","",""
"30",1,"42","34","4","","4","NSS",""
"30",2,"2","0","0","","2","NSS",""
"30",3,"2","2","0","","0","NSS",""
"30",4,"3","1","0","","2","NSS",""
"30",5,"1","1","0","","0","NSS",""
"30",6,"NSS","0","0","","0","NSS",""
"30",7,"NSS","0","0","","0","NSS",""
"30",8,"1","1","0","","0","NSS",""
"30",9,"1","1","0","","0","NSS",""
"30",10,"1","1","0","","0","NSS",""
"30",11,"12","8","1","","3","NSS",""
"30",99,"118","77","7","10","21","3",""
"31",1,"21","NSS","0","","19","2",""
"31",2,"12","NSS","0","","11","1",""
"31",3,"5","NSS","0","","5","0",""
"31",4,"1","NSS","0","","1","0",""
"31",5,"NSS","NSS","0","","0","0",""
"31",6,"NSS","NSS","0","","0","0",""
"31",7,"NSS","NSS","0","","0","0",""
"31",8,"1","NSS","0","","1","0",""
"31",9,"NSS","NSS","0","","0","0",""
"31",10,"1","NSS","0","","1","0",""
"31",11,"24","NSS","0","","22","2",""
"31",99,"109","5","","","99","5",""
"32",1,"30","19","3","","8","0",""
"32",2,"17","8","2","","6","1",""
"32",3,"11","9","1","","1","0",""
"32",4,"2","1","0","","1","0",""
"32",5,"9","7","0","","2","0",""
"32",6,"17","13","2","","2","0",""
"32",7,"5","4","0","","1","0",""
"32",8,"6","3","0","","3","0",""
"32",9,"4","3","0","","1","0",""
"32",10,"4","0","1","","3","0",""
"32",11,"105","62","15","","27","1",""
"32",99,"332","194","33","58","41","6",""
