ENTIDAD,CL_VEHI,TIPO_VEH,ESTRUCTU,TT_VEHI,EST_TTVE
"27",1,4,2390,222,
"27",2,4,2390,32,
"28",1,4,2390,,2
"28",2,4,2390,,2
"29",1,4,2390,88,
"29",2,4,2390,12,
"30",1,4,2390,,2
"30",2,4,2390,,2
"31",1,4,2390,291,
"31",2,4,2390,27,
"32",1,4,2390,0,
"32",2,4,2390,0,
"01",1,5,2390,2,
"01",2,5,2390,0,
"02",1,5,2390,0,
"02",2,5,2390,0,
"03",1,5,2390,0,
"03",2,5,2390,0,
"04",1,5,2390,2,
"04",2,5,2390,1,
"05",1,5,2390,28,
"05",2,5,2390,12,
"06",1,5,2390,,2
"06",2,5,2390,,2
"07",1,5,2390,116,
"07",2,5,2390,30,
"08",1,5,2390,621,
"08",2,5,2390,723,
"09",1,5,2390,1,
"09",2,5,2390,1,
"10",1,5,2390,0,
"10",2,5,2390,0,
"11",1,5,2390,312,
"11",2,5,2390,205,
"12",1,5,2390,62,
"12",2,5,2390,86,
"13",1,5,2390,374,
"13",2,5,2390,60,
